,Membres,Missions,Compétences,Certifications,Combined
0,"Nom: Aaron Beck, Code: 493118, Coefficient: 105, Profil: Confirmé, Localisation: Tours, Equipe: Cloud Azure, Manager: Bryan Walker, ","[""Mission DevOps à 80% d'occupation chez BPCE du 2025-07-03 au 2026-06-21"", ""Mission DevOps à 80% d'occupation chez Club Med du 2025-01-01 au 2025-03-14"", 'Disponible à 80% du 2027-01-15 au 2027-08-02', ""Mission DevOps à 20% d'occupation chez Dalkia du 2027-01-04 au 2027-02-20"", ""Mission DevOps à 20% d'occupation chez LVMH du 2026-03-31 au 2026-12-20"", ""Mission DevOps à 20% d'occupation chez La Poste du 2024-06-16 au 2025-01-25"", ""Mission DevOps à 80% d'occupation chez Orange du 2026-10-16 au 2027-03-27"", ""Mission DevOps à 20% d'occupation chez Société Générale du 2024-12-31 au 2025-08-22""]","['Compétent en Analytique Web à un niveau bon', 'Compétent en Analytique Web à un niveau bon', 'Compétent en Analytique Web à un niveau bon', 'Compétent en Prototypage à un niveau faible', 'Compétent en Prototypage à un niveau faible']","[""Certifié Scrum Master I Professional (PSM1) depuis le 2019-11-01 et jusqu'au 2021-05-13"", ""Certifié Splunk Core Certified User (SCCUSER) depuis le 2020-04-28 et jusqu'au 2021-09-02"", ""Certifié Salesforce Cert Associate (SFCASSOC) depuis le 2020-07-24 et jusqu'au 2023-02-02""]","Nom: Aaron Beck, Code: 493118, Coefficient: 105, Profil: Confirmé, Localisation: Tours, Equipe: Cloud Azure, Manager: Bryan Walker, [Mission DevOps à 80% d'occupation chez BPCE du 2025-07-03 au 2026-06-21, Mission DevOps à 80% d'occupation chez Club Med du 2025-01-01 au 2025-03-14, 'Disponible à 80% du 2027-01-15 au 2027-08-02', Mission DevOps à 20% d'occupation chez Dalkia du 2027-01-04 au 2027-02-20, Mission DevOps à 20% d'occupation chez LVMH du 2026-03-31 au 2026-12-20, Mission DevOps à 20% d'occupation chez La Poste du 2024-06-16 au 2025-01-25, Mission DevOps à 80% d'occupation chez Orange du 2026-10-16 au 2027-03-27, Mission DevOps à 20% d'occupation chez Société Générale du 2024-12-31 au 2025-08-22], ['Compétent en Analytique Web à un niveau bon', 'Compétent en Analytique Web à un niveau bon', 'Compétent en Analytique Web à un niveau bon', 'Compétent en Prototypage à un niveau faible', 'Compétent en Prototypage à un niveau faible'], [Certifié Scrum Master I Professional (PSM1) depuis le 2019-11-01 et jusqu'au 2021-05-13, Certifié Splunk Core Certified User (SCCUSER) depuis le 2020-04-28 et jusqu'au 2021-09-02, Certifié Salesforce Cert Associate (SFCASSOC) depuis le 2020-07-24 et jusqu'au 2023-02-02]"
1,"Nom: Aaron Martin, Code: 415038, Coefficient: 170, Profil: Sénior, Localisation: Paris, Equipe: Cloud Azure, Manager: Mary Padilla, ","[""Mission SAS à 80% d'occupation chez COVEA du 2025-06-09 au 2025-08-17"", ""Mission SAS à 20% d'occupation chez Enedis du 2025-06-14 au 2026-04-06"", ""Mission SAS à 20% d'occupation chez LVMH du 2024-08-12 au 2025-07-27""]","['Compétent en Gestion demandes de service à un niveau expert', 'Compétent en Gestion demandes de service à un niveau expert', 'Compétent en WebMethods à un niveau bon']","[""Certifié Prince2 Agile (P2AGILE) depuis le 2020-03-14 et jusqu'au 2023-03-15""]","Nom: Aaron Martin, Code: 415038, Coefficient: 170, Profil: Sénior, Localisation: Paris, Equipe: Cloud Azure, Manager: Mary Padilla, [Mission SAS à 80% d'occupation chez COVEA du 2025-06-09 au 2025-08-17, Mission SAS à 20% d'occupation chez Enedis du 2025-06-14 au 2026-04-06, Mission SAS à 20% d'occupation chez LVMH du 2024-08-12 au 2025-07-27], ['Compétent en Gestion demandes de service à un niveau expert', 'Compétent en Gestion demandes de service à un niveau expert', 'Compétent en WebMethods à un niveau bon'], [Certifié Prince2 Agile (P2AGILE) depuis le 2020-03-14 et jusqu'au 2023-03-15]"
2,"Nom: Aaron Perez, Code: 470097, Coefficient: 170, Profil: Confirmé, Localisation: Paris, Equipe: ODI, Manager: Bryan Walker, ","[""Mission Talend BD à 50% d'occupation chez BPCE du 2025-09-04 au 2026-06-17"", 'Disponible à 50% du 2025-04-25 au 2025-10-29', ""Mission Talend BD à 50% d'occupation chez Dalkia du 2025-03-22 au 2025-05-26"", ""Mission Talend BD à 50% d'occupation chez Enedis du 2024-02-20 au 2024-07-07"", ""Mission Talend BD à 50% d'occupation chez Engie du 2026-05-22 au 2026-09-24"", ""Mission Talend BD à 50% d'occupation chez LVMH du 2024-04-19 au 2024-11-15"", ""Mission Talend BD à 50% d'occupation chez Orange du 2024-09-15 au 2025-05-30"", ""Mission Talend BD à 50% d'occupation chez Société Générale du 2025-05-04 au 2025-05-26""]","['Compétent en Assurance à un niveau expert', 'Compétent en Gestion des membres à un niveau très bon', 'Compétent en NumPy à un niveau faible', 'Compétent en NumPy à un niveau faible', 'Compétent en Transport ferroviaire à un niveau bon']","[""Certifié SDM Level 2 (CGI) (CGISDL2) depuis le 2019-09-03 et jusqu'au 2020-12-01"", ""Certifié Business Analyst Prof Cert (IIBACBAP) depuis le 2024-08-24 et jusqu'au 2026-05-22"", ""Certifié Siebel Cons Certified Expert (SIEBELCE) depuis le 2024-05-12 et jusqu'au 2026-06-07""]","Nom: Aaron Perez, Code: 470097, Coefficient: 170, Profil: Confirmé, Localisation: Paris, Equipe: ODI, Manager: Bryan Walker, [Mission Talend BD à 50% d'occupation chez BPCE du 2025-09-04 au 2026-06-17, 'Disponible à 50% du 2025-04-25 au 2025-10-29', Mission Talend BD à 50% d'occupation chez Dalkia du 2025-03-22 au 2025-05-26, Mission Talend BD à 50% d'occupation chez Enedis du 2024-02-20 au 2024-07-07, Mission Talend BD à 50% d'occupation chez Engie du 2026-05-22 au 2026-09-24, Mission Talend BD à 50% d'occupation chez LVMH du 2024-04-19 au 2024-11-15, Mission Talend BD à 50% d'occupation chez Orange du 2024-09-15 au 2025-05-30, Mission Talend BD à 50% d'occupation chez Société Générale du 2025-05-04 au 2025-05-26], ['Compétent en Assurance à un niveau expert', 'Compétent en Gestion des membres à un niveau très bon', 'Compétent en NumPy à un niveau faible', 'Compétent en NumPy à un niveau faible', 'Compétent en Transport ferroviaire à un niveau bon'], [Certifié SDM Level 2 (CGI) (CGISDL2) depuis le 2019-09-03 et jusqu'au 2020-12-01, Certifié Business Analyst Prof Cert (IIBACBAP) depuis le 2024-08-24 et jusqu'au 2026-05-22, Certifié Siebel Cons Certified Expert (SIEBELCE) depuis le 2024-05-12 et jusqu'au 2026-06-07]"
3,"Nom: Abigail Hernandez, Code: 494914, Coefficient: 105, Profil: Confirmé, Localisation: Paris, Equipe: MSBI, Manager: Joshua Wells, ","[""Mission Azure à 20% d'occupation chez BPCE du 2024-03-06 au 2024-09-08"", ""Mission Azure à 80% d'occupation chez COVEA du 2024-01-18 au 2024-05-04"", ""Mission Azure à 80% d'occupation chez La Poste du 2024-07-19 au 2025-02-08""]","['Compétent en Exposition et API à un niveau faible', 'Compétent en Gestion de la conformité à un niveau très bon', 'Compétent en Industrie minière à un niveau très bon']","[""Certifié GoogleCloudAssociateEngineer (GCLOUDAE) depuis le 2024-05-30 et jusqu'au 2027-03-27"", ""Certifié Microsoft OS Excel Expert 2019 (MOSMSEEO) depuis le 2024-03-30 et jusqu'au 2027-03-08""]","Nom: Abigail Hernandez, Code: 494914, Coefficient: 105, Profil: Confirmé, Localisation: Paris, Equipe: MSBI, Manager: Joshua Wells, [Mission Azure à 20% d'occupation chez BPCE du 2024-03-06 au 2024-09-08, Mission Azure à 80% d'occupation chez COVEA du 2024-01-18 au 2024-05-04, Mission Azure à 80% d'occupation chez La Poste du 2024-07-19 au 2025-02-08], ['Compétent en Exposition et API à un niveau faible', 'Compétent en Gestion de la conformité à un niveau très bon', 'Compétent en Industrie minière à un niveau très bon'], [Certifié GoogleCloudAssociateEngineer (GCLOUDAE) depuis le 2024-05-30 et jusqu'au 2027-03-27, Certifié Microsoft OS Excel Expert 2019 (MOSMSEEO) depuis le 2024-03-30 et jusqu'au 2027-03-08]"
4,"Nom: Adam Christian, Code: 437072, Coefficient: 105, Profil: Sénior, Localisation: Tours, Equipe: MSBI, Manager: Christopher Jones, ","[""Mission Talend, Talend BD à 20% d'occupation chez Bouygues du 2026-02-11 au 2026-10-01"", ""Mission Talend, Talend BD à 20% d'occupation chez COVEA du 2024-08-04 au 2024-10-30"", ""Mission Talend, Talend BD à 20% d'occupation chez Dalkia du 2025-06-09 au 2026-02-13"", ""Mission Talend, Talend BD à 80% d'occupation chez Engie du 2025-11-24 au 2026-03-09"", ""Mission Talend, Talend BD à 80% d'occupation chez La Poste du 2024-08-24 au 2025-07-28""]","[""Mission Talend, Talend BD à 80% d'occupation chez La Poste du 2024-08-24 au 2025-07-28"", 'Compétent en Traitement appels et contacts à un niveau très bon', 'Compétent en Windows Present. Foundation à un niveau très bon']","[""Certifié Microsoft TA ProgrHTMLandCSS (MTAHCS) depuis le 2020-04-10 et jusqu'au 2021-05-30""]","Nom: Adam Christian, Code: 437072, Coefficient: 105, Profil: Sénior, Localisation: Tours, Equipe: MSBI, Manager: Christopher Jones, [Mission Talend, Talend BD à 20% d'occupation chez Bouygues du 2026-02-11 au 2026-10-01, Mission Talend, Talend BD à 20% d'occupation chez COVEA du 2024-08-04 au 2024-10-30, Mission Talend, Talend BD à 20% d'occupation chez Dalkia du 2025-06-09 au 2026-02-13, Mission Talend, Talend BD à 80% d'occupation chez Engie du 2025-11-24 au 2026-03-09, Mission Talend, Talend BD à 80% d'occupation chez La Poste du 2024-08-24 au 2025-07-28], [Mission Talend, Talend BD à 80% d'occupation chez La Poste du 2024-08-24 au 2025-07-28, 'Compétent en Traitement appels et contacts à un niveau très bon', 'Compétent en Windows Present. Foundation à un niveau très bon'], [Certifié Microsoft TA ProgrHTMLandCSS (MTAHCS) depuis le 2020-04-10 et jusqu'au 2021-05-30]"
5,"Nom: Adrian Morgan, Code: 499626, Coefficient: 150, Profil: Confirmé, Localisation: Tours, Equipe: Cloud Azure, Manager: Jamie Phillips, ","[""Mission SAS à 100% d'occupation chez Bouygues du 2027-04-07 au 2028-01-05"", ""Mission SAS à 0% d'occupation chez COVEA du 2025-07-10 au 2026-02-05"", ""Mission SAS à 80% d'occupation chez Club Med du 2024-05-28 au 2025-04-30"", 'Disponible à 20% du 2024-03-22 au 2024-06-21', ""Mission SAS à 100% d'occupation chez Dalkia du 2025-05-16 au 2025-08-03"", ""Mission SAS à 100% d'occupation chez Engie du 2026-01-03 au 2026-10-13"", ""Mission SAS à 0% d'occupation chez Orange du 2026-08-19 au 2027-04-26"", 'En congés à 100% du 2025-05-01 au 2025-05-15']","['Compétent en ASP/JSP à un niveau faible', 'Compétent en Ansible à un niveau faible', 'Compétent en Communication vidéo à un niveau expert']","[""Certifié Microsoft Cert Architect (MCA) depuis le 2022-04-03 et jusqu'au 2024-04-29"", ""Certifié Oracle ADF spec impl (OIS ADF) depuis le 2023-10-13 et jusqu'au 2026-03-03""]","Nom: Adrian Morgan, Code: 499626, Coefficient: 150, Profil: Confirmé, Localisation: Tours, Equipe: Cloud Azure, Manager: Jamie Phillips, [Mission SAS à 100% d'occupation chez Bouygues du 2027-04-07 au 2028-01-05, Mission SAS à 0% d'occupation chez COVEA du 2025-07-10 au 2026-02-05, Mission SAS à 80% d'occupation chez Club Med du 2024-05-28 au 2025-04-30, 'Disponible à 20% du 2024-03-22 au 2024-06-21', Mission SAS à 100% d'occupation chez Dalkia du 2025-05-16 au 2025-08-03, Mission SAS à 100% d'occupation chez Engie du 2026-01-03 au 2026-10-13, Mission SAS à 0% d'occupation chez Orange du 2026-08-19 au 2027-04-26, 'En congés à 100% du 2025-05-01 au 2025-05-15'], ['Compétent en ASP/JSP à un niveau faible', 'Compétent en Ansible à un niveau faible', 'Compétent en Communication vidéo à un niveau expert'], [Certifié Microsoft Cert Architect (MCA) depuis le 2022-04-03 et jusqu'au 2024-04-29, Certifié Oracle ADF spec impl (OIS ADF) depuis le 2023-10-13 et jusqu'au 2026-03-03]"
6,"Nom: Albert Smith, Code: 466240, Coefficient: 115, Profil: Sénior, Localisation: Tours, Equipe: TALEND, Manager: Jasmine Allen, ","['Disponible à 20% du 2023-12-27 au 2024-02-16', ""Mission MsBI/BO à 80% d'occupation chez Enedis du 2023-12-15 au 2024-03-05"", 'En congés à 100% du 2024-02-17 au 2024-03-02']","['En congés à 100% du 2024-02-17 au 2024-03-02', 'Compétent en Industrialisation à un niveau expert', 'Compétent en Recherche opérationnelle à un niveau expert', 'Compétent en UiPath Orchestrator à un niveau faible']","[""Certifié Access 42 - Accessibilité (ACCESS42) depuis le 2023-11-16 et jusqu'au 2026-04-22"", ""Certifié SAFe Release Train Engineer (RTE) depuis le 2019-12-21 et jusqu'au 2022-04-30"", ""Certifié Salesforce Sharing/VisbltyDes (SFSVIDES) depuis le 2021-01-20 et jusqu'au 2023-06-19""]","Nom: Albert Smith, Code: 466240, Coefficient: 115, Profil: Sénior, Localisation: Tours, Equipe: TALEND, Manager: Jasmine Allen, ['Disponible à 20% du 2023-12-27 au 2024-02-16', Mission MsBI/BO à 80% d'occupation chez Enedis du 2023-12-15 au 2024-03-05, 'En congés à 100% du 2024-02-17 au 2024-03-02'], ['En congés à 100% du 2024-02-17 au 2024-03-02', 'Compétent en Industrialisation à un niveau expert', 'Compétent en Recherche opérationnelle à un niveau expert', 'Compétent en UiPath Orchestrator à un niveau faible'], [Certifié Access 42 - Accessibilité (ACCESS42) depuis le 2023-11-16 et jusqu'au 2026-04-22, Certifié SAFe Release Train Engineer (RTE) depuis le 2019-12-21 et jusqu'au 2022-04-30, Certifié Salesforce Sharing/VisbltyDes (SFSVIDES) depuis le 2021-01-20 et jusqu'au 2023-06-19]"
7,"Nom: Alejandra Delgado, Code: 465292, Coefficient: 150, Profil: Expert, Localisation: Paris, Equipe: TALEND, Manager: Autumn Sanchez, ","[""Mission Data Ing + Data S. à 50% d'occupation chez BPCE du 2025-01-27 au 2025-12-20"", 'Disponible à 50% du 2024-07-10 au 2024-11-06', ""Mission Data Ing + Data S. à 50% d'occupation chez Enedis du 2025-10-17 au 2026-03-19"", ""Mission Data Ing + Data S. à 50% d'occupation chez La Poste du 2024-08-21 au 2025-03-28""]","['Compétent en Azure SQL DB à un niveau très bon', 'Compétent en Gestion continuité services TI à un niveau faible', 'Compétent en Gestion continuité services TI à un niveau faible', 'Compétent en Oracle ADF à un niveau expert', 'Compétent en Perl à un niveau très bon', 'Compétent en Perl à un niveau très bon']","[""Certifié SCALED AGILE, SAFe Practit, SP (ACP) depuis le 2024-05-27 et jusqu'au 2026-11-21""]","Nom: Alejandra Delgado, Code: 465292, Coefficient: 150, Profil: Expert, Localisation: Paris, Equipe: TALEND, Manager: Autumn Sanchez, [Mission Data Ing + Data S. à 50% d'occupation chez BPCE du 2025-01-27 au 2025-12-20, 'Disponible à 50% du 2024-07-10 au 2024-11-06', Mission Data Ing + Data S. à 50% d'occupation chez Enedis du 2025-10-17 au 2026-03-19, Mission Data Ing + Data S. à 50% d'occupation chez La Poste du 2024-08-21 au 2025-03-28], ['Compétent en Azure SQL DB à un niveau très bon', 'Compétent en Gestion continuité services TI à un niveau faible', 'Compétent en Gestion continuité services TI à un niveau faible', 'Compétent en Oracle ADF à un niveau expert', 'Compétent en Perl à un niveau très bon', 'Compétent en Perl à un niveau très bon'], [Certifié SCALED AGILE, SAFe Practit, SP (ACP) depuis le 2024-05-27 et jusqu'au 2026-11-21]"
8,"Nom: Alexander Murphy, Code: LPS00060265, Coefficient: 115, Profil: Expert, Localisation: Tours, Equipe: Cloud Azure, Manager: Stephanie Harrison, ","[""Mission DevOps à 80% d'occupation chez BPCE du 2024-04-29 au 2024-05-19"", ""Mission DevOps à 80% d'occupation chez Bouygues du 2025-11-15 au 2026-09-29"", ""Mission DevOps à 20% d'occupation chez Club Med du 2024-06-27 au 2024-10-25"", ""Mission DevOps à 80% d'occupation chez Enedis du 2024-09-25 au 2025-02-23"", ""Mission DevOps à 20% d'occupation chez Engie du 2026-08-08 au 2027-06-22"", ""Mission DevOps à 20% d'occupation chez LVMH du 2024-03-03 au 2024-07-28"", ""Mission DevOps à 80% d'occupation chez La Poste du 2024-07-04 au 2024-09-09"", ""Mission DevOps à 20% d'occupation chez Orange du 2025-01-18 au 2025-12-20""]","['Compétent en Data Adoption à un niveau expert', 'Compétent en Mendix à un niveau expert', 'Compétent en Qlik Sense à un niveau expert', 'Compétent en Qlik Sense à un niveau expert', 'Compétent en jQuery à un niveau très bon']","[""Certifié Salesforce Administration (SF ADM) depuis le 2019-09-20 et jusqu'au 2022-01-01""]","Nom: Alexander Murphy, Code: LPS00060265, Coefficient: 115, Profil: Expert, Localisation: Tours, Equipe: Cloud Azure, Manager: Stephanie Harrison, [Mission DevOps à 80% d'occupation chez BPCE du 2024-04-29 au 2024-05-19, Mission DevOps à 80% d'occupation chez Bouygues du 2025-11-15 au 2026-09-29, Mission DevOps à 20% d'occupation chez Club Med du 2024-06-27 au 2024-10-25, Mission DevOps à 80% d'occupation chez Enedis du 2024-09-25 au 2025-02-23, Mission DevOps à 20% d'occupation chez Engie du 2026-08-08 au 2027-06-22, Mission DevOps à 20% d'occupation chez LVMH du 2024-03-03 au 2024-07-28, Mission DevOps à 80% d'occupation chez La Poste du 2024-07-04 au 2024-09-09, Mission DevOps à 20% d'occupation chez Orange du 2025-01-18 au 2025-12-20], ['Compétent en Data Adoption à un niveau expert', 'Compétent en Mendix à un niveau expert', 'Compétent en Qlik Sense à un niveau expert', 'Compétent en Qlik Sense à un niveau expert', 'Compétent en jQuery à un niveau très bon'], [Certifié Salesforce Administration (SF ADM) depuis le 2019-09-20 et jusqu'au 2022-01-01]"
9,"Nom: Alexis Murillo, Code: 496088, Coefficient: 115, Profil: Expert, Localisation: Tours, Equipe: MSBI, Manager: Sue Khan, ","[""Mission Direction de projet à 20% d'occupation chez Bouygues du 2024-07-31 au 2025-04-29"", ""Mission Direction de projet à 80% d'occupation chez Dalkia du 2024-08-30 au 2024-09-10"", ""Mission Direction de projet à 20% d'occupation chez Fraikin du 2025-08-22 au 2025-10-11"", ""Mission Direction de projet à 80% d'occupation chez LVMH du 2025-04-01 au 2025-09-08"", ""Mission Direction de projet à 20% d'occupation chez Orange du 2023-12-15 au 2024-10-21""]","['Compétent en Gestion de patrimoine à un niveau faible', 'Compétent en SCSS (Sassy CSS) à un niveau expert', 'Compétent en Transport ferroviaire à un niveau bon']","[""Certifié Alteryx Expert (ALTERYXE) depuis le 2022-08-03 et jusqu'au 2024-11-01"", ""Certifié Microsoft Cert Solutions Exp (MCSE) depuis le 2020-10-19 et jusqu'au 2022-09-18""]","Nom: Alexis Murillo, Code: 496088, Coefficient: 115, Profil: Expert, Localisation: Tours, Equipe: MSBI, Manager: Sue Khan, [Mission Direction de projet à 20% d'occupation chez Bouygues du 2024-07-31 au 2025-04-29, Mission Direction de projet à 80% d'occupation chez Dalkia du 2024-08-30 au 2024-09-10, Mission Direction de projet à 20% d'occupation chez Fraikin du 2025-08-22 au 2025-10-11, Mission Direction de projet à 80% d'occupation chez LVMH du 2025-04-01 au 2025-09-08, Mission Direction de projet à 20% d'occupation chez Orange du 2023-12-15 au 2024-10-21], ['Compétent en Gestion de patrimoine à un niveau faible', 'Compétent en SCSS (Sassy CSS) à un niveau expert', 'Compétent en Transport ferroviaire à un niveau bon'], [Certifié Alteryx Expert (ALTERYXE) depuis le 2022-08-03 et jusqu'au 2024-11-01, Certifié Microsoft Cert Solutions Exp (MCSE) depuis le 2020-10-19 et jusqu'au 2022-09-18]"
