Localisation,COEFF_F212,PROFIL,Nom,Missions_en_cours,Competences,Date_Demarrage,Date_de_fin,Tx_occup,Stream_BT
Mtp,170,Junior,Tom Thompson,Société Générale,Cybersecurity,2024-03-24,2024-04-01,0.5,Cloud Azure
Mtp,170,Junior,Tom Thompson,congés,Cybersecurity,2024-04-02,2024-04-16,1.0,Cloud Azure
Mtp,170,Junior,Tom Thompson,LVMH,Cybersecurity,2024-04-17,2024-06-04,0.9,Cloud Azure
Mtp,170,Junior,Tom Thompson,Fraikin,Cybersecurity,2024-05-15,2025-01-20,0.1,Cloud Azure
Mtp,170,Junior,Tom Thompson,BPCE,Cybersecurity,2024-10-30,2024-12-05,0.9,Cloud Azure
Mtp,170,Junior,Tom Thompson,Club Med,Cybersecurity,2024-10-11,2025-04-28,0.1,Cloud Azure
Mtp,170,Junior,Tom Thompson,La Poste,Cybersecurity,2025-02-25,2025-09-30,0.9,Cloud Azure
Paris,150,Junior,Mary Brewer,La Poste,Talend BD,2023-10-30,2024-09-25,0.5,Cloud Azure
Paris,150,Junior,Mary Brewer,COVEA,Talend BD,2024-08-11,2024-09-25,0.5,Cloud Azure
Paris,150,Junior,Mary Brewer,Fraikin,Talend BD,2024-07-20,2025-05-02,0.5,Cloud Azure
Paris,150,Junior,Mary Brewer,Enedis,Talend BD,2025-02-23,2025-03-22,0.5,Cloud Azure
Paris,150,Junior,Mary Brewer,Bouygues,Talend BD,2025-01-04,2025-10-13,0.5,Cloud Azure
Mtp,170,Sénior,Miranda Hill,La Poste,Cybersecurity,2024-06-14,2025-05-14,0.5,DataViz
Mtp,170,Sénior,Miranda Hill,Dalkia,Cybersecurity,2025-03-11,2025-04-07,0.5,DataViz
Mtp,170,Sénior,Miranda Hill,Orange,Cybersecurity,2025-03-17,2025-04-30,0.5,DataViz
Mtp,170,Sénior,Miranda Hill,Club Med,Cybersecurity,2025-02-10,2025-10-07,0.5,DataViz
Mtp,170,Sénior,Miranda Hill,BPCE,Cybersecurity,2025-07-22,2025-10-18,0.5,DataViz
Mtp,170,Sénior,Miranda Hill,LVMH,Cybersecurity,2025-07-27,2026-04-17,0.5,DataViz
Mtp,170,Sénior,Miranda Hill,Engie,Cybersecurity,2026-03-15,2026-12-10,0.5,DataViz
Mtp,115,Confirmé,Lisa Rowe,Fraikin,Data Ing + Data S.,2024-05-02,2025-02-12,0.8,ODI
Mtp,115,Confirmé,Lisa Rowe,Orange,Data Ing + Data S.,2024-12-24,2025-09-27,0.2,ODI
Mtp,115,Confirmé,Lisa Rowe,BPCE,Data Ing + Data S.,2025-09-01,2025-11-10,0.8,ODI
Mtp,115,Confirmé,Lisa Rowe,Dalkia,Data Ing + Data S.,2025-09-05,2026-06-05,0.2,ODI
Mtp,115,Confirmé,Lisa Rowe,Engie,Data Ing + Data S.,2026-03-24,2026-07-20,0.8,ODI
Mtp,115,Confirmé,Lisa Rowe,Enedis,Data Ing + Data S.,2026-07-05,2027-03-21,0.2,ODI
Mtp,115,Confirmé,Lisa Rowe,COVEA,Data Ing + Data S.,2027-01-26,2027-11-07,0.8,ODI
Mtp,100,Confirmé,Jonathan Benson,DISPO ICE,"Talend, Talend BD",2024-04-12,2024-12-29,0.5,TALEND
Mtp,100,Confirmé,Jonathan Benson,congés,"Talend, Talend BD",2024-12-30,2025-01-13,1.0,TALEND
Mtp,100,Confirmé,Jonathan Benson,Engie,"Talend, Talend BD",2025-01-14,2025-12-20,0.6,TALEND
