Code,Nom,Stat. Pers.,Type,HR Business Unit,Dept Descr,Executive BU,CGI Groupe d'affaire,CGI BU,Statut employé,Emploi,Location (CGI Office),Classe,Étape,Type pmt GL,Perm./temp.,Catégorie empl.,Proj Role,Home Country,Home City,Home State/Prov,CGI Tenure,Professional Experience Date,Location Type,Lieu Travail,Code FCP,Pool Descr,Competency,Description,Capacité,Proficiency Description,Année obtention,Dernière année util.,Années expérience,Supervisor Name,Interest Level of Competencies
235363,Tom Thompson,E,I,EUA41,SHA DCT DCUSTOMER SC-BT 31,FR,BUGFRANCE,FRICE,A,411,FRACML001,SAN,13,ADM,R,,"Conseiller, Sécurité",FRA,CIVRAY DE TOURAINE,11.0,2021-04-12,2011-06-20,Bureau CGI,FRATOU0001,333,FR CPG Retail Paris,200543,Intégration systèmes existants,1,0-Aucun,0,2023,5,Mrs. Rebecca Sullivan,0
235363,Tom Thompson,E,I,EUA41,SHA DCT DCUSTOMER SC-BT 31,FR,BUGFRANCE,FRICE,A,411,FRACML001,SAN,13,ADM,R,,"Conseiller, Sécurité",FRA,CIVRAY DE TOURAINE,11.0,2021-04-12,2011-06-20,Bureau CGI,FRATOU0001,333,FR CPG Retail Paris,200933,PHPMyAdmin,2,1-Faible,0,2020,1,Mrs. Rebecca Sullivan,0
235363,Tom Thompson,E,I,EUA41,SHA DCT DCUSTOMER SC-BT 31,FR,BUGFRANCE,FRICE,A,411,FRACML001,SAN,13,ADM,R,,"Conseiller, Sécurité",FRA,CIVRAY DE TOURAINE,11.0,2021-04-12,2011-06-20,Bureau CGI,FRATOU0001,333,FR CPG Retail Paris,201668,Architecture d‘intégration,0,1-Faible,0,0,2,Mrs. Rebecca Sullivan,0
235363,Tom Thompson,E,I,EUA41,SHA DCT DCUSTOMER SC-BT 31,FR,BUGFRANCE,FRICE,A,411,FRACML001,SAN,13,ADM,R,,"Conseiller, Sécurité",FRA,CIVRAY DE TOURAINE,11.0,2021-04-12,2011-06-20,Bureau CGI,FRATOU0001,333,FR CPG Retail Paris,202684,JSON (WS),2,2-Bon,0,2023,1,Mrs. Rebecca Sullivan,0
235363,Tom Thompson,E,I,EUA41,SHA DCT DCUSTOMER SC-BT 31,FR,BUGFRANCE,FRICE,A,411,FRACML001,SAN,13,ADM,R,,"Conseiller, Sécurité",FRA,CIVRAY DE TOURAINE,11.0,2021-04-12,2011-06-20,Bureau CGI,FRATOU0001,333,FR CPG Retail Paris,200495,Coaching,3,2-Bon,0,2023,0,Mrs. Rebecca Sullivan,0
235363,Tom Thompson,E,I,EUA41,SHA DCT DCUSTOMER SC-BT 31,FR,BUGFRANCE,FRICE,A,411,FRACML001,SAN,13,ADM,R,,"Conseiller, Sécurité",FRA,CIVRAY DE TOURAINE,11.0,2021-04-12,2011-06-20,Bureau CGI,FRATOU0001,333,FR CPG Retail Paris,200378,Conception interface utilis.,1,2-Bon,0,2023,1,Mrs. Rebecca Sullivan,0
413836,Mary Brewer,N,,EUA41,SHA D4B BEYOND DATA_BT40,FR,BUGFRANCE,FRICE,P,661,FRATOU001,MGE,3,DIR,T,Subcontrac,"Architecte systèmes, Technique",,Saint Aunes,82.0,2021-06-22,2009-10-01,Autre,FRACES0001,363,FR EUTM OPS,201981,Système exécution fabrication,0,4-Expert,0,0,1,William Bell,3
413836,Mary Brewer,N,,EUA41,SHA D4B BEYOND DATA_BT40,FR,BUGFRANCE,FRICE,P,661,FRATOU001,MGE,3,DIR,T,Subcontrac,"Architecte systèmes, Technique",,Saint Aunes,82.0,2021-06-22,2009-10-01,Autre,FRACES0001,363,FR EUTM OPS,201223,Leadership de Transformation,0,2-Bon,0,2023,3,William Bell,3
413836,Mary Brewer,N,,EUA41,SHA D4B BEYOND DATA_BT40,FR,BUGFRANCE,FRICE,P,661,FRATOU001,MGE,3,DIR,T,Subcontrac,"Architecte systèmes, Technique",,Saint Aunes,82.0,2021-06-22,2009-10-01,Autre,FRACES0001,363,FR EUTM OPS,200002,Transport et logistique,0,1-Faible,0,2020,1,William Bell,3
413836,Mary Brewer,N,,EUA41,SHA D4B BEYOND DATA_BT40,FR,BUGFRANCE,FRICE,P,661,FRATOU001,MGE,3,DIR,T,Subcontrac,"Architecte systèmes, Technique",,Saint Aunes,82.0,2021-06-22,2009-10-01,Autre,FRACES0001,363,FR EUTM OPS,200500,Firebase Google Cloud,1,2-Bon,0,2020,2,William Bell,3
413836,Mary Brewer,N,,EUA41,SHA D4B BEYOND DATA_BT40,FR,BUGFRANCE,FRICE,P,661,FRATOU001,MGE,3,DIR,T,Subcontrac,"Architecte systèmes, Technique",,Saint Aunes,82.0,2021-06-22,2009-10-01,Autre,FRACES0001,363,FR EUTM OPS,201121,Gestion de problèmes,3,1-Faible,0,2023,5,William Bell,3
413836,Mary Brewer,N,,EUA41,SHA D4B BEYOND DATA_BT40,FR,BUGFRANCE,FRICE,P,661,FRATOU001,MGE,3,DIR,T,Subcontrac,"Architecte systèmes, Technique",,Saint Aunes,82.0,2021-06-22,2009-10-01,Autre,FRACES0001,363,FR EUTM OPS,200450,Azure Machine Learning,2,4-Expert,0,2020,0,William Bell,3
LPS00346809,Miranda Hill,E,I,EUA41,SHA GIT EMERGING-BT41,FR,BUGFRANCE,FRICE,A,504,FRAREN002,CET,7,DIR,T,,Gestionnaire de programme,,SAINT-ANDRE-DE-SANGONIS,93.0,2015-11-30,2019-03-11,Autre,FRAPAR0001,519,FR G OUEST LR,200369,Notepad++,2,2-Bon,0,2020,2,Sean Huang,0
LPS00346809,Miranda Hill,E,I,EUA41,SHA GIT EMERGING-BT41,FR,BUGFRANCE,FRICE,A,504,FRAREN002,CET,7,DIR,T,,Gestionnaire de programme,,SAINT-ANDRE-DE-SANGONIS,93.0,2015-11-30,2019-03-11,Autre,FRAPAR0001,519,FR G OUEST LR,200742,Gestion des contrats,1,4-Expert,0,0,0,Sean Huang,0
LPS00346809,Miranda Hill,E,I,EUA41,SHA GIT EMERGING-BT41,FR,BUGFRANCE,FRICE,A,504,FRAREN002,CET,7,DIR,T,,Gestionnaire de programme,,SAINT-ANDRE-DE-SANGONIS,93.0,2015-11-30,2019-03-11,Autre,FRAPAR0001,519,FR G OUEST LR,201054,AngularJS,2,0-Aucun,0,0,1,Sean Huang,0
LPS00346809,Miranda Hill,E,I,EUA41,SHA GIT EMERGING-BT41,FR,BUGFRANCE,FRICE,A,504,FRAREN002,CET,7,DIR,T,,Gestionnaire de programme,,SAINT-ANDRE-DE-SANGONIS,93.0,2015-11-30,2019-03-11,Autre,FRAPAR0001,519,FR G OUEST LR,202495,MS Dynamics AX ScalCommTrading,1,4-Expert,0,0,2,Sean Huang,0
475640,Lisa Rowe,N,I,EUA41,SHA DTR DIGIT MKT AGENCY-BT41,FR,BUGFRANCE,FRICE,P,6,FRAREN002,CET,1,DIR,T,,Conseiller en management,FRA,LATTES,13.0,2011-08-16,2015-01-22,Bureau CGI,FRAPAR0001,362,FR G EST Clermont Ferrand,200601,Optimisation des processus,1,1-Faible,0,2023,1,Brian Hayes,2
475640,Lisa Rowe,N,I,EUA41,SHA DTR DIGIT MKT AGENCY-BT41,FR,BUGFRANCE,FRICE,P,6,FRAREN002,CET,1,DIR,T,,Conseiller en management,FRA,LATTES,13.0,2011-08-16,2015-01-22,Bureau CGI,FRAPAR0001,362,FR G EST Clermont Ferrand,201314,OpenStack,4,3-Très bon,0,2023,2,Brian Hayes,2
