Localisation,COEFF F212,PROFIL,Nom,Missions en cours,Competences,Date Demarrage,Date de fin,Taux occupation,Stream BT,combined,n_tokens
Mtp,115,Confirmé,Mariette Bourget,MAIF,SAS,2022-01-10,2024-12-31,100%,DSIA,"Localisation: Mtp, Nom: Mariette Bourget, Compétences: SAS, Mission en cours: MAIF, Date de début de mission: 2022-01-10, Date de fin de mission: 2024-12-31, Taux d'occupation: 100%",63
Tours,115,Confirmé,Mireille Rochefort,CHANEL : CORP,SSIS,2023-10-30,2024-12-31,100%,MSBI,"Localisation: Tours, Nom: Mireille Rochefort, Compétences: SSIS, Mission en cours: CHANEL : CORP, Date de début de mission: 2023-10-30, Date de fin de mission: 2024-12-31, Taux d'occupation: 100%",68
Tours,105,Junior,Lyle Ppin,COVEA Dataline,Talend BD,2022-12-19,2024-12-31,100%,TALEND,"Localisation: Tours, Nom: Lyle Ppin, Compétences: Talend BD, Mission en cours: COVEA Dataline, Date de début de mission: 2022-12-19, Date de fin de mission: 2024-12-31, Taux d'occupation: 100%",68
Mtp,100,Junior,Lucille Laboissonnire,MENJS,SAS,2024-01-23,2024-12-31,100%,DSIA,"Localisation: Mtp, Nom: Lucille Laboissonnire, Compétences: SAS, Mission en cours: MENJS, Date de début de mission: 2024-01-23, Date de fin de mission: 2024-12-31, Taux d'occupation: 100%",66
Paris,150,Expert,Ansel Pirouet,ICDC,Data Ing + Data S.,2023-04-01,2024-12-31,100%,DSIA,"Localisation: Paris, Nom: Ansel Pirouet, Compétences: Data Ing + Data S., Mission en cours: ICDC, Date de début de mission: 2023-04-01, Date de fin de mission: 2024-12-31, Taux d'occupation: 100%",67
Paris,100,Junior,Julien Therrien,EDF: CDS VERONE,nan,2023-10-16,2024-03-31,100%,ODI,"Localisation: Paris, Nom: Julien Therrien, Compétences: nan, Mission en cours: EDF: CDS VERONE, Date de début de mission: 2023-10-16, Date de fin de mission: 2024-03-31, Taux d'occupation: 100%",66
Tours,170,Expert,Afrodille Pouliotte,EDF: CDS VERONE,Direction de projet,2023-12-01,2024-06-30,40%,ODI,"Localisation: Tours, Nom: Afrodille Pouliotte, Compétences: Direction de projet, Mission en cours: EDF: CDS VERONE, Date de début de mission: 2023-12-01, Date de fin de mission: 2024-06-30, Taux d'occupation: 40%",71
Tours,170,Expert,Afrodille Pouliotte,EDF Data SFR (depuis 03/2022),Direction de projet,2023-12-01,2024-03-31,25%,ODI,"Localisation: Tours, Nom: Afrodille Pouliotte, Compétences: Direction de projet, Mission en cours: EDF Data SFR (depuis 03/2022), Date de début de mission: 2023-12-01, Date de fin de mission: 2024-03-31, Taux d'occupation: 25%",78
Tours,170,Expert,Afrodille Pouliotte,EDF : TCO2 GESMA,Direction de projet,2023-12-01,2024-03-31,20%,ODI,"Localisation: Tours, Nom: Afrodille Pouliotte, Compétences: Direction de projet, Mission en cours: EDF : TCO2 GESMA, Date de début de mission: 2023-12-01, Date de fin de mission: 2024-03-31, Taux d'occupation: 20%",73
Tours,170,Expert,Afrodille Pouliotte,EDF Eureka,Direction de projet,2023-12-01,2024-12-31,5%,ODI,"Localisation: Tours, Nom: Afrodille Pouliotte, Compétences: Direction de projet, Mission en cours: EDF Eureka, Date de début de mission: 2023-12-01, Date de fin de mission: 2024-12-31, Taux d'occupation: 5%",68
Tours,170,Expert,Afrodille Pouliotte,Resp Scu Site Tours,Direction de projet,2023-12-01,2024-12-31,10%,ODI,"Localisation: Tours, Nom: Afrodille Pouliotte, Compétences: Direction de projet, Mission en cours: Resp Scu Site Tours, Date de début de mission: 2023-12-01, Date de fin de mission: 2024-12-31, Taux d'occupation: 10%",69
Tours,150,Expert,Aymon Bellemare,ELSAN,MsBI/BO,2024-02-05,2024-04-19,100%,MSBI,"Localisation: Tours, Nom: Aymon Bellemare, Compétences: MsBI/BO, Mission en cours: ELSAN, Date de début de mission: 2024-02-05, Date de fin de mission: 2024-04-19, Taux d'occupation: 100%",68
Tours,150,Expert,Aymon Bellemare,ELSAN,MsBI/BO,2024-04-15,2024-12-31,50%,MSBI,"Localisation: Tours, Nom: Aymon Bellemare, Compétences: MsBI/BO, Mission en cours: ELSAN, Date de début de mission: 2024-04-15, Date de fin de mission: 2024-12-31, Taux d'occupation: 50%",68
Tours,150,Expert,Aymon Bellemare,DISPO ICE,MsBI/BO,2024-04-22,2024-04-26,50%,MSBI,"Localisation: Tours, Nom: Aymon Bellemare, Compétences: MsBI/BO, Mission en cours: DISPO ICE, Date de début de mission: 2024-04-22, Date de fin de mission: 2024-04-26, Taux d'occupation: 50%",68
Tours,150,Expert,Aymon Bellemare,CONGES,MsBI/BO,2024-04-29,2024-05-10,100%,MSBI,"Localisation: Tours, Nom: Aymon Bellemare, Compétences: MsBI/BO, Mission en cours: CONGES, Date de début de mission: 2024-04-29, Date de fin de mission: 2024-05-10, Taux d'occupation: 100%",67
Tours,150,Expert,Aymon Bellemare,DISPO ICE,MsBI/BO,2024-05-13,2024-06-14,50%,MSBI,"Localisation: Tours, Nom: Aymon Bellemare, Compétences: MsBI/BO, Mission en cours: DISPO ICE, Date de début de mission: 2024-05-13, Date de fin de mission: 2024-06-14, Taux d'occupation: 50%",68
Tours,150,Expert,Aymon Bellemare,CONGES,MsBI/BO,2024-06-17,2024-06-21,100%,MSBI,"Localisation: Tours, Nom: Aymon Bellemare, Compétences: MsBI/BO, Mission en cours: CONGES, Date de début de mission: 2024-06-17, Date de fin de mission: 2024-06-21, Taux d'occupation: 100%",67
Tours,150,Expert,Aymon Bellemare,DISPO ICE,MsBI/BO,2024-06-22,2024-12-31,50%,MSBI,"Localisation: Tours, Nom: Aymon Bellemare, Compétences: MsBI/BO, Mission en cours: DISPO ICE, Date de début de mission: 2024-06-22, Date de fin de mission: 2024-12-31, Taux d'occupation: 50%",68
Tours,170,Expert,Gano Chartier,Radio Data Mercedes BDF MDM ASP Limoges,Pilotage BT,2022-12-19,2024-12-31,100%,Data Management,"Localisation: Tours, Nom: Gano Chartier, Compétences: Pilotage BT, Mission en cours: Radio Data Mercedes BDF MDM ASP Limoges, Date de début de mission: 2022-12-19, Date de fin de mission: 2024-12-31, Taux d'occupation: 100%",73
Tours,100,Junior,Caroline Gnreux,AIR LIQUIDE,"Talend, Talend BD",2024-01-08,2024-02-23,100%,TALEND,"Localisation: Tours, Nom: Caroline Gnreux, Compétences: Talend, Talend BD, Mission en cours: AIR LIQUIDE, Date de début de mission: 2024-01-08, Date de fin de mission: 2024-02-23, Taux d'occupation: 100%",69
Tours,100,Junior,Caroline Gnreux,AIR LIQUIDE,"Talend, Talend BD",2024-02-26,2024-03-15,50%,TALEND,"Localisation: Tours, Nom: Caroline Gnreux, Compétences: Talend, Talend BD, Mission en cours: AIR LIQUIDE, Date de début de mission: 2024-02-26, Date de fin de mission: 2024-03-15, Taux d'occupation: 50%",69
Tours,100,Junior,Caroline Gnreux,DISPO ICE,"Talend, Talend BD",2024-02-26,2024-03-15,50%,TALEND,"Localisation: Tours, Nom: Caroline Gnreux, Compétences: Talend, Talend BD, Mission en cours: DISPO ICE, Date de début de mission: 2024-02-26, Date de fin de mission: 2024-03-15, Taux d'occupation: 50%",68
Tours,100,Junior,Caroline Gnreux,DISPO ICE,"Talend, Talend BD",2024-03-16,2024-03-31,100%,TALEND,"Localisation: Tours, Nom: Caroline Gnreux, Compétences: Talend, Talend BD, Mission en cours: DISPO ICE, Date de début de mission: 2024-03-16, Date de fin de mission: 2024-03-31, Taux d'occupation: 100%",68
Tours,100,Junior,Caroline Gnreux,DISPO ICE,"Talend, Talend BD",2024-04-01,2024-04-09,100%,TALEND,"Localisation: Tours, Nom: Caroline Gnreux, Compétences: Talend, Talend BD, Mission en cours: DISPO ICE, Date de début de mission: 2024-04-01, Date de fin de mission: 2024-04-09, Taux d'occupation: 100%",68
Tours,100,Junior,Caroline Gnreux,Arrt Maladie,"Talend, Talend BD",2024-04-10,2024-04-23,100%,TALEND,"Localisation: Tours, Nom: Caroline Gnreux, Compétences: Talend, Talend BD, Mission en cours: Arrt Maladie, Date de début de mission: 2024-04-10, Date de fin de mission: 2024-04-23, Taux d'occupation: 100%",70
Tours,100,Junior,Caroline Gnreux,DISPO ICE,"Talend, Talend BD",2024-04-24,2024-12-31,100%,TALEND,"Localisation: Tours, Nom: Caroline Gnreux, Compétences: Talend, Talend BD, Mission en cours: DISPO ICE, Date de début de mission: 2024-04-24, Date de fin de mission: 2024-12-31, Taux d'occupation: 100%",68
Mtp,130,Sénior,Lirienne Neufville,Eramet,"Power BI, Azure, BO, Qlik",2022-10-17,2024-06-30,100%,DataViz,"Localisation: Mtp, Nom: Lirienne Neufville, Compétences: Power BI, Azure, BO, Qlik, Mission en cours: Eramet, Date de début de mission: 2022-10-17, Date de fin de mission: 2024-06-30, Taux d'occupation: 100%",74
Mtp,130,Sénior,Lirienne Neufville,DISPO ICE,"Power BI, Azure, BO, Qlik",2024-07-01,2024-12-31,100%,DataViz,"Localisation: Mtp, Nom: Lirienne Neufville, Compétences: Power BI, Azure, BO, Qlik, Mission en cours: DISPO ICE, Date de début de mission: 2024-07-01, Date de fin de mission: 2024-12-31, Taux d'occupation: 100%",74
Mtp,130,Sénior,Auguste Gadbois,Temps Partiel,nan,2014-07-01,2024-12-31,20%,Data Integration,"Localisation: Mtp, Nom: Auguste Gadbois, Compétences: nan, Mission en cours: Temps Partiel, Date de début de mission: 2014-07-01, Date de fin de mission: 2024-12-31, Taux d'occupation: 20%",66
Mtp,130,Sénior,Auguste Gadbois,ALGECO,"Informatica stambia, talend, datastage",2023-10-01,2024-04-30,40%,Data Integration,"Localisation: Mtp, Nom: Auguste Gadbois, Compétences: Informatica stambia, talend, datastage, Mission en cours: ALGECO, Date de début de mission: 2023-10-01, Date de fin de mission: 2024-04-30, Taux d'occupation: 40%",75
Mtp,130,Sénior,Auguste Gadbois,AG2R MCO,"Informatica stambia, talend, datastage",2024-02-05,2024-04-30,40%,Data Integration,"Localisation: Mtp, Nom: Auguste Gadbois, Compétences: Informatica stambia, talend, datastage, Mission en cours: AG2R MCO, Date de début de mission: 2024-02-05, Date de fin de mission: 2024-04-30, Taux d'occupation: 40%",76
Paris,120,Confirmé,Annot Legault,CLARINS CDS,Datastage,2023-01-01,2024-12-31,100%,Data Integration,"Localisation: Paris, Nom: Annot Legault, Compétences: Datastage, Mission en cours: CLARINS CDS, Date de début de mission: 2023-01-01, Date de fin de mission: 2024-12-31, Taux d'occupation: 100%",66
Paris,130,Sénior,Denise Beaudoin,ERAMET,Azure,2023-01-01,2024-06-30,100%,Cloud Azure,"Localisation: Paris, Nom: Denise Beaudoin, Compétences: Azure, Mission en cours: ERAMET, Date de début de mission: 2023-01-01, Date de fin de mission: 2024-06-30, Taux d'occupation: 100%",63
